Name,NACA 4415 Airfoil M=4.0% P=40.0% T=15.0%
Chord(mm),1677
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1677,0
1675.385049,0.518193
1670.545227,2.066064
1662.497304,4.625166
1651.266435,8.165313
1636.891191,12.641226
1619.420205,17.999241
1598.910495,24.178986
1575.434172,31.104996
1549.071732,38.701806
1519.913733,46.882212
1488.064149,55.557333
1453.637016,64.633257
1416.756432,74.014395
1377.558234,83.606835
1336.184967,93.309957
1292.792592,103.028172
1247.543778,112.667568
1200.611256,122.130879
1152.177819,131.32587
1102.42626,140.161983
1051.556142,148.553691
999.765351,156.412113
947.261835,163.656753
894.255219,170.210469
840.961836,175.999473
787.599696,180.958362
734.388486,185.02341
681.551247,188.140953
628.47252,190.12149
575.987451,190.634652
524.550507,189.672054
474.399822,187.252143
425.768499,183.415167
378.886287,178.218144
333.967842,171.733185
291.222789,164.050848
250.842306,155.276784
213.007509,145.53006
177.881067,134.938128
145.608879,123.635148
116.325105,111.761988
90.137073,99.457839
67.142049,86.860215
47.417175,74.101599
31.022823,61.302735
18.000918,48.575982
8.383323,36.015252
2.1801,23.697687
-0.610428,11.680305
0,0
3.919149,-11.01789
11.044722,-21.064797
21.321378,-30.140721
34.683714,-38.245662
51.056265,-45.389682
70.346796,-51.581166
92.463072,-56.836884
117.296088,-61.17696
144.736839,-64.628226
174.669612,-67.225899
206.968632,-69.006873
241.513155,-70.024812
278.172375,-70.33338
316.817163,-69.999657
357.315036,-69.095754
399.531834,-67.698813
443.330043,-65.897715
488.568795,-63.777987
535.105545,-61.436895
582.79104,-58.964997
631.47435,-56.457882
681.210816,-53.996046
732.428073,-51.381603
784.101474,-48.552504
836.038164,-45.567444
888.045288,-42.485118
939.923283,-39.357513
991.472586,-36.231585
1042.496988,-33.149259
1092.795249,-30.142398
1142.167806,-27.236157
1190.420127,-24.454014
1237.35768,-21.809385
1282.789287,-19.314009
1326.532155,-16.969563
1368.401814,-14.782755
1408.228887,-12.750231
1445.843997,-10.873668
1481.086152,-9.149712
1513.807776,-7.576686
1543.866324,-6.151236
1571.13099,-4.873362
1595.484384,-3.741387
1616.814147,-2.756988
1635.029721,-1.920165
1650.047256,-1.232595
1661.797995,-0.694278
1670.231628,-0.308568
1675.30623,-0.077142
1677,0
,
Camber line,
X(mm),Y(mm)
2.1801,23.697687
-0.610428,5.840153
0,0
3.919149,8.066489
11.044722,9.213142
21.321378,10.84023
34.683714,12.957542
51.056265,15.532893
70.346796,18.517371
92.463072,21.8569
117.296088,25.489357
144.736839,29.326676
174.669612,33.293726
206.968632,37.35112
241.513155,41.424332
278.172375,45.440906
316.817163,49.325565
357.315036,53.004054
399.531834,56.403974
443.330043,59.451523
488.568795,62.078924
535.105545,64.216344
582.79104,65.801567
631.47435,66.7758
681.210816,67.078805
732.428073,66.878738
784.101474,66.336552
836.038164,65.44479
888.045288,64.199953
939.923283,62.603288
991.472586,60.662398
1042.496988,58.389507
1092.795249,55.804175
1142.167806,52.933769
1190.420127,49.805815
1237.35768,46.456036
1282.789287,42.922588
1326.532155,39.251125
1368.401814,35.485751
1408.228887,31.675497
1445.843997,27.870931
1481.086152,24.123605
1513.807776,20.484327
1543.866324,17.005485
1571.13099,13.735837
1595.484384,10.724187
1616.814147,8.01374
1635.029721,5.645969
1650.047256,3.656162
1661.797995,2.075661
1670.231628,0.928608
1675.30623,0.233129
1677,0
,
Chord line,
X(mm),Y(mm)
0,0
1677,0
