Gblade_tsr=7
             x                       y                       z
  -3.00000e-02             1.25000e-01             9.69326e-17
   9.00000e-02             1.25000e-01             1.36807e-15
   8.99027e-02             1.25000e-01             3.09678e-03
   8.97082e-02             1.25000e-01             5.60188e-03
   8.94169e-02             1.25000e-01             8.21460e-03
   8.90292e-02             1.25000e-01             1.06625e-02
   8.85457e-02             1.25000e-01             1.29944e-02
   8.79673e-02             1.25000e-01             1.54297e-02
   8.72949e-02             1.25000e-01             1.77443e-02
   8.65295e-02             1.25000e-01             2.00239e-02
   8.56724e-02             1.25000e-01             2.23512e-02
   8.47251e-02             1.25000e-01             2.45405e-02
   8.36890e-02             1.25000e-01             2.67256e-02
   8.25658e-02             1.25000e-01             2.89266e-02
   8.13573e-02             1.25000e-01             3.09700e-02
   8.00655e-02             1.25000e-01             3.30239e-02
   7.86925e-02             1.25000e-01             3.50442e-02
   7.72406e-02             1.25000e-01             3.69436e-02
   7.57120e-02             1.25000e-01             3.88339e-02
   7.41093e-02             1.25000e-01             4.06518e-02
   7.24350e-02             1.25000e-01             4.23759e-02
   7.06919e-02             1.25000e-01             4.40739e-02
   6.88828e-02             1.25000e-01             4.56689e-02
   6.70106e-02             1.25000e-01             4.71886e-02
   6.50784e-02             1.25000e-01             4.86692e-02
   6.30893e-02             1.25000e-01             5.00210e-02
   6.10466e-02             1.25000e-01             5.13120e-02
   5.89534e-02             1.25000e-01             5.25499e-02
   5.68133e-02             1.25000e-01             5.36443e-02
   5.46298e-02             1.25000e-01             5.46864e-02
   5.24062e-02             1.25000e-01             5.56487e-02
   5.01464e-02             1.25000e-01             5.64854e-02
   4.78538e-02             1.25000e-01             5.72630e-02
   4.55323e-02             1.25000e-01             5.79375e-02
   4.31856e-02             1.25000e-01             5.85030e-02
   4.08175e-02             1.25000e-01             5.90046e-02
   3.84319e-02             1.25000e-01             5.93825e-02
   3.60325e-02             1.25000e-01             5.96675e-02
   3.36234e-02             1.25000e-01             5.98861e-02
   3.12085e-02             1.25000e-01             5.99620e-02
   2.87915e-02             1.25000e-01             5.99620e-02
   2.63766e-02             1.25000e-01             5.98861e-02
   2.39675e-02             1.25000e-01             5.96675e-02
   2.15681e-02             1.25000e-01             5.93825e-02
   1.91825e-02             1.25000e-01             5.90046e-02
   1.68144e-02             1.25000e-01             5.85030e-02
   1.44677e-02             1.25000e-01             5.79375e-02
   1.21462e-02             1.25000e-01             5.72630e-02
   9.85364e-03             1.25000e-01             5.64854e-02
   7.59377e-03             1.25000e-01             5.56487e-02
   5.37024e-03             1.25000e-01             5.46864e-02
   3.18666e-03             1.25000e-01             5.36443e-02
   1.04656e-03             1.25000e-01             5.25499e-02
  -1.04656e-03             1.25000e-01             5.13120e-02
  -3.08933e-03             1.25000e-01             5.00210e-02
  -5.07843e-03             1.25000e-01             4.86692e-02
  -7.01064e-03             1.25000e-01             4.71886e-02
  -8.88281e-03             1.25000e-01             4.56689e-02
  -1.06919e-02             1.25000e-01             4.40739e-02
  -1.24350e-02             1.25000e-01             4.23759e-02
  -1.41093e-02             1.25000e-01             4.06518e-02
  -1.57120e-02             1.25000e-01             3.88339e-02
  -1.72406e-02             1.25000e-01             3.69436e-02
  -1.86925e-02             1.25000e-01             3.50442e-02
  -2.00655e-02             1.25000e-01             3.30239e-02
  -2.13573e-02             1.25000e-01             3.09700e-02
  -2.25658e-02             1.25000e-01             2.89266e-02
  -2.36890e-02             1.25000e-01             2.67256e-02
  -2.47251e-02             1.25000e-01             2.45405e-02
  -2.56724e-02             1.25000e-01             2.23512e-02
  -2.65295e-02             1.25000e-01             2.00239e-02
  -2.72949e-02             1.25000e-01             1.77443e-02
  -2.79673e-02             1.25000e-01             1.54297e-02
  -2.85457e-02             1.25000e-01             1.29944e-02
  -2.90292e-02             1.25000e-01             1.06625e-02
  -2.94169e-02             1.25000e-01             8.21460e-03
  -2.97082e-02             1.25000e-01             5.60188e-03
  -2.99027e-02             1.25000e-01             3.09678e-03
  -3.00000e-02             1.25000e-01             9.69326e-17
  -3.00000e-02             1.25000e-01             9.69326e-17
  -2.99027e-02             1.25000e-01            -3.09678e-03
  -2.97082e-02             1.25000e-01            -5.60188e-03
  -2.94169e-02             1.25000e-01            -8.21460e-03
  -2.90292e-02             1.25000e-01            -1.06625e-02
  -2.85457e-02             1.25000e-01            -1.29944e-02
  -2.79673e-02             1.25000e-01            -1.54297e-02
  -2.72949e-02             1.25000e-01            -1.77443e-02
  -2.65295e-02             1.25000e-01            -2.00239e-02
  -2.56724e-02             1.25000e-01            -2.23512e-02
  -2.47251e-02             1.25000e-01            -2.45405e-02
  -2.36890e-02             1.25000e-01            -2.67256e-02
  -2.25658e-02             1.25000e-01            -2.89266e-02
  -2.13573e-02             1.25000e-01            -3.09700e-02
  -2.00655e-02             1.25000e-01            -3.30239e-02
  -1.86925e-02             1.25000e-01            -3.50442e-02
  -1.72406e-02             1.25000e-01            -3.69436e-02
  -1.57120e-02             1.25000e-01            -3.88339e-02
  -1.41093e-02             1.25000e-01            -4.06518e-02
  -1.24350e-02             1.25000e-01            -4.23759e-02
  -1.06919e-02             1.25000e-01            -4.40739e-02
  -8.88281e-03             1.25000e-01            -4.56689e-02
  -7.01064e-03             1.25000e-01            -4.71886e-02
  -5.07843e-03             1.25000e-01            -4.86692e-02
  -3.08933e-03             1.25000e-01            -5.00210e-02
  -1.04656e-03             1.25000e-01            -5.13120e-02
   1.04656e-03             1.25000e-01            -5.25499e-02
   3.18666e-03             1.25000e-01            -5.36443e-02
   5.37024e-03             1.25000e-01            -5.46864e-02
   7.59377e-03             1.25000e-01            -5.56487e-02
   9.85364e-03             1.25000e-01            -5.64854e-02
   1.21462e-02             1.25000e-01            -5.72630e-02
   1.44677e-02             1.25000e-01            -5.79375e-02
   1.68144e-02             1.25000e-01            -5.85030e-02
   1.91825e-02             1.25000e-01            -5.90046e-02
   2.15681e-02             1.25000e-01            -5.93825e-02
   2.39675e-02             1.25000e-01            -5.96675e-02
   2.63766e-02             1.25000e-01            -5.98861e-02
   2.87915e-02             1.25000e-01            -5.99620e-02
   3.12085e-02             1.25000e-01            -5.99620e-02
   3.36234e-02             1.25000e-01            -5.98861e-02
   3.60325e-02             1.25000e-01            -5.96675e-02
   3.84319e-02             1.25000e-01            -5.93825e-02
   4.08175e-02             1.25000e-01            -5.90046e-02
   4.31856e-02             1.25000e-01            -5.85030e-02
   4.55323e-02             1.25000e-01            -5.79375e-02
   4.78538e-02             1.25000e-01            -5.72630e-02
   5.01464e-02             1.25000e-01            -5.64854e-02
   5.24062e-02             1.25000e-01            -5.56487e-02
   5.46298e-02             1.25000e-01            -5.46864e-02
   5.68133e-02             1.25000e-01            -5.36443e-02
   5.89534e-02             1.25000e-01            -5.25499e-02
   6.10466e-02             1.25000e-01            -5.13120e-02
   6.30893e-02             1.25000e-01            -5.00210e-02
   6.50784e-02             1.25000e-01            -4.86692e-02
   6.70106e-02             1.25000e-01            -4.71886e-02
   6.88828e-02             1.25000e-01            -4.56689e-02
   7.06919e-02             1.25000e-01            -4.40739e-02
   7.24350e-02             1.25000e-01            -4.23759e-02
   7.41093e-02             1.25000e-01            -4.06518e-02
   7.57120e-02             1.25000e-01            -3.88339e-02
   7.72406e-02             1.25000e-01            -3.69436e-02
   7.86925e-02             1.25000e-01            -3.50442e-02
   8.00655e-02             1.25000e-01            -3.30239e-02
   8.13573e-02             1.25000e-01            -3.09700e-02
   8.25658e-02             1.25000e-01            -2.89266e-02
   8.36890e-02             1.25000e-01            -2.67256e-02
   8.47251e-02             1.25000e-01            -2.45405e-02
   8.56724e-02             1.25000e-01            -2.23512e-02
   8.65295e-02             1.25000e-01            -2.00239e-02
   8.72949e-02             1.25000e-01            -1.77443e-02
   8.79673e-02             1.25000e-01            -1.54297e-02
   8.85457e-02             1.25000e-01            -1.29944e-02
   8.90292e-02             1.25000e-01            -1.06625e-02
   8.94169e-02             1.25000e-01            -8.21460e-03
   8.97082e-02             1.25000e-01            -5.60188e-03
   8.99027e-02             1.25000e-01            -3.09678e-03
   9.00000e-02             1.25000e-01            -1.54876e-15
  -3.00000e-02             1.25000e-01             9.69326e-17

  -5.16323e-02             4.12500e-01            -9.49201e-03
   1.54876e-01             4.12500e-01             2.85467e-02
   1.54703e-01             4.12500e-01             3.05498e-02
   1.54358e-01             4.12500e-01             3.21546e-02
   1.53841e-01             4.12500e-01             3.38166e-02
   1.53153e-01             4.12500e-01             3.53583e-02
   1.52295e-01             4.12500e-01             3.68118e-02
   1.51268e-01             4.12500e-01             3.83197e-02
   1.50074e-01             4.12500e-01             3.97365e-02
   1.48716e-01             4.12500e-01             4.11182e-02
   1.47194e-01             4.12500e-01             4.25190e-02
   1.45511e-01             4.12500e-01             4.38236e-02
   1.43670e-01             4.12500e-01             4.51142e-02
   1.41673e-01             4.12500e-01             4.64089e-02
   1.39523e-01             4.12500e-01             4.75941e-02
   1.37224e-01             4.12500e-01             4.87787e-02
   1.34779e-01             4.12500e-01             4.99374e-02
   1.32192e-01             4.12500e-01             5.10101e-02
   1.29468e-01             4.12500e-01             5.20753e-02
   1.26610e-01             4.12500e-01             5.30866e-02
   1.23623e-01             4.12500e-01             5.40366e-02
   1.20513e-01             4.12500e-01             5.49639e-02
   1.17282e-01             4.12500e-01             5.58257e-02
   1.13938e-01             4.12500e-01             5.66345e-02
   1.10484e-01             4.12500e-01             5.74217e-02
   1.06928e-01             4.12500e-01             5.81230e-02
   1.03273e-01             4.12500e-01             5.87890e-02
   9.95267e-02             4.12500e-01             5.94186e-02
   9.56953e-02             4.12500e-01             5.99553e-02
   9.17856e-02             4.12500e-01             6.04558e-02
   8.78040e-02             4.12500e-01             6.09024e-02
   8.37581e-02             4.12500e-01             6.12616e-02
   7.96541e-02             4.12500e-01             6.15782e-02
   7.55016e-02             4.12500e-01             6.18142e-02
   7.13047e-02             4.12500e-01             6.19745e-02
   6.70773e-02             4.12500e-01             6.20652e-02
   6.28204e-02             4.12500e-01             6.20675e-02
   5.85479e-02             4.12500e-01             6.19784e-02
   5.42620e-02             4.12500e-01             6.18310e-02
   4.99735e-02             4.12500e-01             6.15632e-02
   4.56893e-02             4.12500e-01             6.12198e-02
   4.14152e-02             4.12500e-01             6.08047e-02
   3.71640e-02             4.12500e-01             6.02552e-02
   3.29346e-02             4.12500e-01             5.96489e-02
   2.87481e-02             4.12500e-01             5.89210e-02
   2.45972e-02             4.12500e-01             5.80999e-02
   2.05039e-02             4.12500e-01             5.71735e-02
   1.64647e-02             4.12500e-01             5.61476e-02
   1.24936e-02             4.12500e-01             5.50021e-02
   8.59794e-03             4.12500e-01             5.37634e-02
   4.77840e-03             4.12500e-01             5.24086e-02
   1.05352e-03             4.12500e-01             5.09268e-02
  -2.58993e-03             4.12500e-01             4.94025e-02
  -6.12123e-03             4.12500e-01             4.76936e-02
  -9.55943e-03             4.12500e-01             4.59443e-02
  -1.28838e-02             4.12500e-01             4.40998e-02
  -1.60984e-02             4.12500e-01             4.21494e-02
  -1.91977e-02             4.12500e-01             4.01519e-02
  -2.21723e-02             4.12500e-01             3.80708e-02
  -2.50304e-02             4.12500e-01             3.59336e-02
  -2.77491e-02             4.12500e-01             3.37301e-02
  -3.03450e-02             4.12500e-01             3.14897e-02
  -3.27983e-02             4.12500e-01             2.91748e-02
  -3.51172e-02             4.12500e-01             2.68697e-02
  -3.72942e-02             4.12500e-01             2.44904e-02
  -3.93245e-02             4.12500e-01             2.20918e-02
  -4.12145e-02             4.12500e-01             1.97365e-02
  -4.29458e-02             4.12500e-01             1.72652e-02
  -4.45360e-02             4.12500e-01             1.48614e-02
  -4.59622e-02             4.12500e-01             1.24451e-02
  -4.72395e-02             4.12500e-01             9.98968e-03
  -4.83560e-02             4.12500e-01             7.58400e-03
  -4.93112e-02             4.12500e-01             5.18065e-03
  -5.01148e-02             4.12500e-01             2.76276e-03
  -5.07412e-02             4.12500e-01             3.95519e-04
  -5.12283e-02             4.12500e-01            -1.93034e-03
  -5.15240e-02             4.12500e-01            -4.41954e-03
  -5.16530e-02             4.12500e-01            -6.80821e-03
  -5.16323e-02             4.12500e-01            -9.49201e-03
  -5.16323e-02             4.12500e-01            -9.49201e-03
  -5.13072e-02             4.12500e-01            -1.20106e-02
  -5.08084e-02             4.12500e-01            -1.41354e-02
  -5.01518e-02             4.12500e-01            -1.62692e-02
  -4.93545e-02             4.12500e-01            -1.81803e-02
  -4.83744e-02             4.12500e-01            -2.00465e-02
  -4.72410e-02             4.12500e-01            -2.19156e-02
  -4.59362e-02             4.12500e-01            -2.37088e-02
  -4.44710e-02             4.12500e-01            -2.54516e-02
  -4.28483e-02             4.12500e-01            -2.71951e-02
  -4.10650e-02             4.12500e-01            -2.88377e-02
  -3.91361e-02             4.12500e-01            -3.04253e-02
  -3.70507e-02             4.12500e-01            -3.20181e-02
  -3.48270e-02             4.12500e-01            -3.34528e-02
  -3.24577e-02             4.12500e-01            -3.48758e-02
  -2.99536e-02             4.12500e-01            -3.62341e-02
  -2.73173e-02             4.12500e-01            -3.74759e-02
  -2.45506e-02             4.12500e-01            -3.86828e-02
  -2.16666e-02             4.12500e-01            -3.97844e-02
  -1.86586e-02             4.12500e-01            -4.08049e-02
  -1.55467e-02             4.12500e-01            -4.17377e-02
  -1.23233e-02             4.12500e-01            -4.25752e-02
  -9.00395e-03             4.12500e-01            -4.33010e-02
