Export File Created with QBlade v0.963 64bit on 07.10.2019 at 23:21:40
           T1_Re1.000_M0.02_N9.0
Alpha;Cl/Cd;
    -1,00000e+01;    -4,33026e+01;
    -9,50000e+00;    -4,52438e+01;
    -9,00000e+00;    -4,63664e+01;
    -8,50000e+00;    -4,63608e+01;
    -8,00000e+00;    -4,51076e+01;
    -7,50000e+00;    -4,24982e+01;
    -7,00000e+00;    -3,88763e+01;
    -6,50000e+00;    -3,47347e+01;
    -6,00000e+00;    -3,00382e+01;
    -5,50000e+00;    -2,51245e+01;
    -5,00000e+00;    -2,13705e+01;
    -4,50000e+00;    -1,46174e+01;
    -4,00000e+00;    -6,52419e+00;
    -3,50000e+00;     2,26227e+00;
    -3,00000e+00;     1,15915e+01;
    -2,50000e+00;     2,10418e+01;
    -2,00000e+00;     3,03120e+01;
    -1,50000e+00;     3,90306e+01;
    -1,00000e+00;     4,70842e+01;
    -5,00000e-01;     5,44012e+01;
     0,00000e+00;     6,13305e+01;
     5,00000e-01;     6,73059e+01;
     1,00000e+00;     7,32937e+01;
     1,50000e+00;     7,96123e+01;
     2,00000e+00;     8,50573e+01;
     2,50000e+00;     9,00487e+01;
     3,00000e+00;     9,47273e+01;
     3,50000e+00;     9,97527e+01;
     4,00000e+00;     1,04487e+02;
     4,50000e+00;     1,07658e+02;
     5,00000e+00;     1,10144e+02;
     5,50000e+00;     1,09367e+02;
     6,00000e+00;     1,02185e+02;
     6,50000e+00;     8,58909e+01;
     7,00000e+00;     7,91724e+01;
     7,50000e+00;     7,74796e+01;
     8,00000e+00;     7,57938e+01;
     8,50000e+00;     7,29847e+01;
     9,00000e+00;     6,78242e+01;
     9,50000e+00;     6,34444e+01;
     1,00000e+01;     5,84893e+01;
     1,05000e+01;     5,30652e+01;
     1,10000e+01;     4,71584e+01;
     1,15000e+01;     4,37253e+01;
     1,20000e+01;     4,03745e+01;
     1,25000e+01;     3,71245e+01;
     1,30000e+01;     3,40399e+01;
     1,35000e+01;     3,08092e+01;
     1,40000e+01;     2,76894e+01;
     1,45000e+01;     2,60409e+01;
     1,50000e+01;     2,43212e+01;
     1,55000e+01;     2,27362e+01;
     1,60000e+01;     2,13570e+01;
     1,65000e+01;     2,01330e+01;
     1,70000e+01;     1,87944e+01;
     1,75000e+01;     1,76243e+01;
     1,80000e+01;     1,68623e+01;
     1,85000e+01;     1,61229e+01;
     1,90000e+01;     1,54417e+01;
     1,95000e+01;     1,47743e+01;
     2,00000e+01;     1,40599e+01;
     2,05000e+01;     1,33738e+01;
     2,10000e+01;     1,29074e+01;
     2,15000e+01;     1,24426e+01;
     2,20000e+01;     1,19920e+01;
     2,25000e+01;     1,15629e+01;
     2,30000e+01;     1,11066e+01;
     2,35000e+01;     1,06168e+01;
     2,40000e+01;     1,02347e+01;
     2,50000e+01;     9,55711e+00;
     2,55000e+01;     9,17384e+00;
     2,60000e+01;     8,70876e+00;
     2,65000e+01;     8,39768e+00;
     2,70000e+01;     7,93694e+00;
     2,75000e+01;     7,39087e+00;
     2,85000e+01;     5,71070e+00;
     2,90000e+01;     5,17988e+00;
     2,95000e+01;     4,95615e+00;
     3,00000e+01;     4,83306e+00;
     3,50000e+01;     1,57778e+00;
     3,55000e+01;     1,54398e+00;
     3,60000e+01;     1,51661e+00;
     3,65000e+01;     1,49263e+00;
     3,75000e+01;     1,45041e+00;
     3,80000e+01;     1,41289e+00;
     3,85000e+01;     1,38343e+00;
     3,90000e+01;     1,35771e+00;
     3,95000e+01;     1,33227e+00;
     4,00000e+01;     1,30813e+00;
     4,05000e+01;     1,28497e+00;
     4,10000e+01;     1,26335e+00;
     4,15000e+01;     1,24334e+00;
     4,20000e+01;     1,22455e+00;
     4,25000e+01;     1,20689e+00;
     4,30000e+01;     1,19047e+00;
     4,35000e+01;     1,17540e+00;
     4,40000e+01;     1,16156e+00;
     4,45000e+01;     1,14839e+00;
     4,50000e+01;     1,12804e+00;

