xflr5 v6.47

 Calculated polar for: GB01

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.020     Re =     1.438 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 0.4569, 0.00650, 0.00161,-0.1045,0.5002,0.5814,-0.9181, 0.0000, 0.4762
  1.000, 0.5804, 0.00684, 0.00188,-0.1067,0.4798,0.5952,-1.0213, 0.0000, 0.4299
  2.000, 0.7030, 0.00723, 0.00219,-0.1089,0.4591,0.6039,-1.1282, 0.0000, 0.3995
  3.000, 0.8251, 0.00755, 0.00249,-0.1110,0.4405,0.6105,-1.2782, 0.0000, 0.3780
  4.000, 0.9456, 0.00799, 0.00290,-0.1128,0.4140,0.6167,-1.6039, 0.0000, 0.3617
  5.000, 1.0625, 0.00881, 0.00348,-0.1141,0.3519,0.6223,-1.9591, 0.0000, 0.3486
  6.000, 1.1526, 0.01185, 0.00548,-0.1119,0.1565,0.6294,-2.2833, 0.0000, 0.3371
  7.000, 1.2380, 0.01431, 0.00743,-0.1085,0.0697,0.6339,-2.6384, 0.0000, 0.3263
  8.000, 1.3280, 0.01566, 0.00879,-0.1055,0.0605,0.6373,-3.0246, 0.0000, 0.3167
  9.000, 1.3782, 0.01717, 0.01037,-0.0953,0.0550,0.6410,-3.3432, 0.0000, 0.3049
 10.000, 1.4035, 0.01968, 0.01308,-0.0832,0.0525,0.6448,-3.6134, 0.0000, 0.2935
 11.000, 1.4246, 0.02390, 0.01745,-0.0745,0.0497,0.6481,-3.8719, 0.0000, 0.2848
 12.000, 1.4402, 0.02963, 0.02338,-0.0677,0.0471,0.6512,-4.1113, 0.0000, 0.2776
 13.000, 1.4657, 0.03538, 0.02932,-0.0632,0.0456,0.6532,-4.4062, 0.0000, 0.2718
 14.000, 1.4875, 0.04217, 0.03629,-0.0599,0.0437,0.6564,-4.6929, 0.0000, 0.2669
 15.000, 1.4898, 0.05186, 0.04620,-0.0580,0.0409,0.6591,-4.9334, 0.0000, 0.2634
 16.000, 1.5218, 0.05954, 0.05409,-0.0580,0.0399,0.6619,-5.4815, 0.0000, 0.2603
 17.000, 1.5450, 0.06879, 0.06356,-0.0590,0.0383,0.6645,-6.0142, 0.0000, 0.2581
 18.000, 1.5629, 0.07922, 0.07414,-0.0612,0.0360,0.6671,-6.5668, 0.0000, 0.2567
 19.000, 1.5785, 0.09016, 0.08530,-0.0644,0.0341,0.6692,-7.1164, 0.0000, 0.2558
 20.000, 1.5996, 0.10034, 0.09572,-0.0681,0.0327,0.6730,-7.7119, 0.0000, 0.2550
 21.000, 1.6142, 0.11120, 0.10678,-0.0729,0.0309,0.6764,-8.2744, 0.0000, 0.2548
 22.000, 1.6163, 0.12354, 0.11933,-0.0792,0.0288,0.6796,-8.7454, 0.0000, 0.2558
 23.000, 1.6311, 0.13374, 0.12977,-0.0852,0.0275,0.6828,-9.3179, 0.0000, 0.2561
 24.000, 1.6338, 0.14528, 0.14151,-0.0929,0.0249,0.6880,-9.7917, 0.0000, 0.2576
 25.000, 1.6296, 0.15733, 0.15380,-0.1018,0.0223,0.6936,-10.1951, 0.0000, 0.2600
 26.000, 1.6069, 0.17169, 0.16835,-0.1135,0.0175,0.6991,-10.4006, 0.0000, 0.2649
 27.000, 1.5471, 0.19137, 0.18830,-0.1308,0.0123,0.7049,-10.1545, 0.0000, 0.2756
 28.000, 1.4424, 0.21872, 0.21611,-0.1556,0.0098,0.7082,-9.1811, 0.0000, 0.2962
 30.000, 1.2924, 0.26768, 0.26552,-0.1982,0.0050,0.7223,-7.0335, 0.0000, 0.3380


